C:\Users\User\Desktop\driving_data\IMG\center_2018_03_21_20_30_22_743.jpg,C:\Users\User\Desktop\driving_data\IMG\left_2018_03_21_20_30_22_743.jpg,C:\Users\User\Desktop\driving_data\IMG\right_2018_03_21_20_30_22_743.jpg,0,0,0,2.505145E-06
C:\Users\User\Desktop\driving_data\IMG\center_2018_03_21_20_30_22_813.jpg,C:\Users\User\Desktop\driving_data\IMG\left_2018_03_21_20_30_22_813.jpg,C:\Users\User\Desktop\driving_data\IMG\right_2018_03_21_20_30_22_813.jpg,0,0,0,1.334888E-05
C:\Users\User\Desktop\driving_data\IMG\center_2018_03_21_20_30_22_881.jpg,C:\Users\User\Desktop\driving_data\IMG\left_2018_03_21_20_30_22_881.jpg,C:\Users\User\Desktop\driving_data\IMG\right_2018_03_21_20_30_22_881.jpg,0,0,0,6.871298E-07
C:\Users\User\Desktop\driving_data\IMG\center_2018_03_21_20_30_22_950.jpg,C:\Users\User\Desktop\driving_data\IMG\left_2018_03_21_20_30_22_950.jpg,C:\Users\User\Desktop\driving_data\IMG\right_2018_03_21_20_30_22_950.jpg,0,0,0,1.800068E-06
C:\Users\User\Desktop\driving_data\IMG\center_2018_03_21_20_30_23_018.jpg,C:\Users\User\Desktop\driving_data\IMG\left_2018_03_21_20_30_23_018.jpg,C:\Users\User\Desktop\driving_data\IMG\right_2018_03_21_20_30_23_018.jpg,0,0,0,1.355135E-05
C:\Users\User\Desktop\driving_data\IMG\center_2018_03_21_20_30_23_087.jpg,C:\Users\User\Desktop\driving_data\IMG\left_2018_03_21_20_30_23_087.jpg,C:\Users\User\Desktop\driving_data\IMG\right_2018_03_21_20_30_23_087.jpg,0,0,0,1.720968E-06
C:\Users\User\Desktop\driving_data\IMG\center_2018_03_21_20_30_23_157.jpg,C:\Users\User\Desktop\driving_data\IMG\left_2018_03_21_20_30_23_157.jpg,C:\Users\User\Desktop\driving_data\IMG\right_2018_03_21_20_30_23_157.jpg,0,0.1232266,0,0.01890117
C:\Users\User\Desktop\driving_data\IMG\center_2018_03_21_20_30_23_226.jpg,C:\Users\User\Desktop\driving_data\IMG\left_2018_03_21_20_30_23_226.jpg,C:\Users\User\Desktop\driving_data\IMG\right_2018_03_21_20_30_23_226.jpg,0,0.3073034,0,0.1855464
C:\Users\User\Desktop\driving_data\IMG\center_2018_03_21_20_30_23_296.jpg,C:\Users\User\Desktop\driving_data\IMG\left_2018_03_21_20_30_23_296.jpg,C:\Users\User\Desktop\driving_data\IMG\right_2018_03_21_20_30_23_296.jpg,0,0.5436974,0,0.6068761
C:\Users\User\Desktop\driving_data\IMG\center_2018_03_21_20_30_23_366.jpg,C:\Users\User\Desktop\driving_data\IMG\left_2018_03_21_20_30_23_366.jpg,C:\Users\User\Desktop\driving_data\IMG\right_2018_03_21_20_30_23_366.jpg,0,0.7260042,0,1.055524
C:\Users\User\Desktop\driving_data\IMG\center_2018_03_21_20_30_23_437.jpg,C:\Users\User\Desktop\driving_data\IMG\left_2018_03_21_20_30_23_437.jpg,C:\Users\User\Desktop\driving_data\IMG\right_2018_03_21_20_30_23_437.jpg,0,0.9683614,0,1.89168
